network,method,algorithm_variant,M,T,stage1_runtime_seconds,stage2_runtime_seconds,total_runtime_seconds
9_lines_245_stations,heuristic,heuristic,10,20,0.0577,0.1688,0.2265
9_lines_245_stations,exact,exact,10,20,1.7216,0.0450,1.7666
9_lines_245_stations,ea_ra,random,10,30,1298.9026,1932.4404,3231.3430
9_lines_245_stations,heuristic,heuristic,10,30,0.0575,0.3031,0.3606
9_lines_245_stations,exact,exact,10,30,1.7216,0.0510,1.7726
9_lines_245_stations,ea_ra,random,10,40,1298.9026,2461.8007,3760.7033
9_lines_245_stations,heuristic,heuristic,10,40,0.0573,0.4321,0.4894
9_lines_245_stations,exact,exact,10,40,1.7216,0.0570,1.7786
9_lines_245_stations,ea_ra,random,10,50,1298.9026,2456.3410,3755.2436
9_lines_245_stations,heuristic,heuristic,10,50,0.0575,0.5696,0.6271
9_lines_245_stations,exact,exact,10,50,1.7216,0.0570,1.7786
9_lines_245_stations,ea_ra,random,10,60,1298.9026,2468.0565,3766.9591
9_lines_245_stations,heuristic,heuristic,10,60,0.0577,0.7012,0.7589
9_lines_245_stations,exact,exact,10,60,1.7216,0.0630,1.7846
9_lines_245_stations,ea_ra,random,10,70,1298.9026,2431.6003,3730.5029
9_lines_245_stations,heuristic,heuristic,10,70,0.0590,0.8351,0.8941
9_lines_245_stations,exact,exact,10,70,1.7216,0.0660,1.7876
